age_years,sex,year,cultural_background,adjusted_population
8,Male,2017,ATSI,539.0671181
8,Female,2017,ATSI,481.9985382
9,Male,2017,ATSI,504.4491173
9,Female,2017,ATSI,458.7166095
10,Male,2017,ATSI,526.4899951
10,Female,2017,ATSI,476.3910799
11,Male,2017,ATSI,439.4764867
11,Female,2017,ATSI,463.8638878
12,Male,2017,ATSI,440.5267847
12,Female,2017,ATSI,461.5821383
13,Male,2017,ATSI,452.9438469
13,Female,2017,ATSI,428.2932706
14,Male,2017,ATSI,475.5483126
14,Female,2017,ATSI,451.0090696
15,Male,2017,ATSI,446.7239168
15,Female,2017,ATSI,423.964082
16,Male,2017,ATSI,533.7686663
16,Female,2017,ATSI,480.7530233
17,Male,2017,ATSI,478.177058
17,Female,2017,ATSI,458.6060916
0,Male,2018,ATSI,430.8515721
0,Female,2018,ATSI,428.1787075
1,Male,2018,ATSI,549.1519693
1,Female,2018,ATSI,428.3468864
2,Male,2018,ATSI,502.7947255
2,Female,2018,ATSI,453.9430172
3,Male,2018,ATSI,511.3311078
3,Female,2018,ATSI,508.3726284
4,Male,2018,ATSI,511.4795429
4,Female,2018,ATSI,465.2147232
5,Male,2018,ATSI,512.4020032
5,Female,2018,ATSI,514.1215356
6,Male,2018,ATSI,521.1491554
6,Female,2018,ATSI,527.7307742
7,Male,2018,ATSI,487.2058675
7,Female,2018,ATSI,499.7372153
8,Male,2018,ATSI,539.0671181
8,Female,2018,ATSI,481.9985382
9,Male,2018,ATSI,504.4491173
9,Female,2018,ATSI,458.7166095
10,Male,2018,ATSI,526.4899951
10,Female,2018,ATSI,476.3910799
11,Male,2018,ATSI,439.4764867
11,Female,2018,ATSI,463.8638878
12,Male,2018,ATSI,440.5267847
12,Female,2018,ATSI,461.5821383
13,Male,2018,ATSI,452.9438469
13,Female,2018,ATSI,428.2932706
14,Male,2018,ATSI,475.5483126
14,Female,2018,ATSI,451.0090696
15,Male,2018,ATSI,446.7239168
15,Female,2018,ATSI,423.964082
16,Male,2018,ATSI,533.7686663
16,Female,2018,ATSI,480.7530233
17,Male,2018,ATSI,478.177058
17,Female,2018,ATSI,458.6060916
0,Male,2019,ATSI,430.8515721
0,Female,2019,ATSI,428.1787075
1,Male,2019,ATSI,549.1519693
1,Female,2019,ATSI,428.3468864
2,Male,2019,ATSI,502.7947255
2,Female,2019,ATSI,453.9430172
3,Male,2019,ATSI,511.3311078
3,Female,2019,ATSI,508.3726284
4,Male,2019,ATSI,511.4795429
4,Female,2019,ATSI,465.2147232
5,Male,2019,ATSI,512.4020032
5,Female,2019,ATSI,514.1215356
6,Male,2019,ATSI,521.1491554
6,Female,2019,ATSI,527.7307742
7,Male,2019,ATSI,487.2058675
7,Female,2019,ATSI,499.7372153
8,Male,2019,ATSI,539.0671181
8,Female,2019,ATSI,481.9985382
9,Male,2019,ATSI,504.4491173
9,Female,2019,ATSI,458.7166095
10,Male,2019,ATSI,526.4899951
10,Female,2019,ATSI,476.3910799
11,Male,2019,ATSI,439.4764867
11,Female,2019,ATSI,463.8638878
12,Male,2019,ATSI,440.5267847
12,Female,2019,ATSI,461.5821383
13,Male,2019,ATSI,452.9438469
13,Female,2019,ATSI,428.2932706
14,Male,2019,ATSI,475.5483126
14,Female,2019,ATSI,451.0090696
15,Male,2019,ATSI,446.7239168
15,Female,2019,ATSI,423.964082
16,Male,2019,ATSI,533.7686663
16,Female,2019,ATSI,480.7530233
17,Male,2019,ATSI,478.177058
17,Female,2019,ATSI,458.6060916
0,Male,2020,ATSI,430.8515721
0,Female,2020,ATSI,428.1787075
1,Male,2020,ATSI,549.1519693
1,Female,2020,ATSI,428.3468864
2,Male,2020,ATSI,502.7947255
2,Female,2020,ATSI,453.9430172
3,Male,2020,ATSI,511.3311078
3,Female,2020,ATSI,508.3726284
4,Male,2020,ATSI,511.4795429
4,Female,2020,ATSI,465.2147232
5,Male,2020,ATSI,512.4020032
5,Female,2020,ATSI,514.1215356
6,Male,2020,ATSI,521.1491554
6,Female,2020,ATSI,527.7307742
7,Male,2020,ATSI,487.2058675
7,Female,2020,ATSI,499.7372153
8,Male,2020,ATSI,539.0671181
8,Female,2020,ATSI,481.9985382
9,Male,2020,ATSI,504.4491173
9,Female,2020,ATSI,458.7166095
10,Male,2020,ATSI,526.4899951
10,Female,2020,ATSI,476.3910799
11,Male,2020,ATSI,439.4764867
11,Female,2020,ATSI,463.8638878
12,Male,2020,ATSI,440.5267847
12,Female,2020,ATSI,461.5821383
13,Male,2020,ATSI,452.9438469
13,Female,2020,ATSI,428.2932706
14,Male,2020,ATSI,475.5483126
14,Female,2020,ATSI,451.0090696
15,Male,2020,ATSI,446.7239168
15,Female,2020,ATSI,423.964082
16,Male,2020,ATSI,533.7686663
16,Female,2020,ATSI,480.7530233
17,Male,2020,ATSI,478.177058
17,Female,2020,ATSI,458.6060916
0,Male,2005,Other,8742.162155
0,Female,2005,Other,8177.482168
1,Male,2005,Other,8561.406783
1,Female,2005,Other,8146.496136
2,Male,2005,Other,8798.562092
2,Female,2005,Other,8150.714382
3,Male,2005,Other,8623.059869
3,Female,2005,Other,8293.026224
4,Male,2005,Other,8784.543205
4,Female,2005,Other,8379.706064
5,Male,2005,Other,8817.160044
5,Female,2005,Other,8674.975881
6,Male,2005,Other,9348.742897
6,Female,2005,Other,8669.223743
7,Male,2005,Other,9363.76344
7,Female,2005,Other,8999.197663
8,Male,2005,Other,9333.181956
8,Female,2005,Other,8939.826466
9,Male,2005,Other,9520.19013
9,Female,2005,Other,9100.73788
10,Male,2005,Other,9858.76057
10,Female,2005,Other,9263.179868
11,Male,2005,Other,10100.67444
11,Female,2005,Other,9389.595999
12,Male,2005,Other,9726.919637
12,Female,2005,Other,9417.622291
13,Male,2005,Other,10066.59678
13,Female,2005,Other,9499.351374
14,Male,2005,Other,10154.746
14,Female,2005,Other,9625.881807
15,Male,2005,Other,10261.89935
15,Female,2005,Other,9468.835649
16,Male,2005,Other,10227.85263
16,Female,2005,Other,9695.834769
17,Male,2005,Other,10462.28099
17,Female,2005,Other,9415.486141
0,Male,2006,Other,8742.162155
0,Female,2006,Other,8177.482168
1,Male,2006,Other,8561.406783
1,Female,2006,Other,8146.496136
2,Male,2006,Other,8798.562092
2,Female,2006,Other,8150.714382
3,Male,2006,Other,8623.059869
3,Female,2006,Other,8293.026224
4,Male,2006,Other,8784.543205
4,Female,2006,Other,8379.706064
